stop_code,stop_name,stop_lat,stop_lon
6900,Park at South,43.093155,-89.502022
6901,Century at Valley Ridge,43.110287,-89.474572
F610,Sawmill at N Westfield,43.080025,-89.509575
0692,University at N Breese,43.073517,-89.414277
6921,Old Sauk at N Gammon,43.076493,-89.501941
6923,Junction at Mineral Point,43.060781,-89.527262
6925,Junction at Prairie Towne,43.065214,-89.525368
6931,Fourier at La Petite,43.084041,-89.526841
6937,Old Sauk at N Westfield,43.075084,-89.50705
6938,Watts at S Gammon,43.050288,-89.503762
6944,Fourier at J Q Hammons,43.081661,-89.524417
6952,Odana at Tokay,43.051678,-89.481698
6958,Deming at J Q Hammons,43.09398,-89.525263
6972,N High Point at Old Sauk,43.074682,-89.518778
6973,Century at Parmenter,43.111397,-89.509071
6979,Watts at Sky Ridge,43.050525,-89.510821
6981,Deming at Fourier,43.086234,-89.528128
6983,Deming at J Q Hammons,43.0939,-89.524929
0706,N Charter at University,43.073767,-89.406352
0709,S Park at Burr Oak,43.044427,-89.39381
0710,S Bassett at W Washington,43.069834,-89.390515
7107,Turner at Pflaum,43.062496,-89.314067
7111,E Buckeye at Dondee,43.073193,-89.3017
7114,Monona at Buckeye,43.079604,-89.324201
7115,Turner at Allis,43.071118,-89.314004
F712,Dominion at Galileo,43.091704,-89.272766
F713,Buckeye at Monona,43.079577,-89.323571
7134,Wyalusing at Stockbridge,43.094385,-89.261214
7137,Dempsey at Cottage Grove,43.084173,-89.31612
F714,Acewood at Onyx,43.091645,-89.302377
7148,Milwaukee at Milky,43.099278,-89.279801
0715,S Park at Meriter,43.065378,-89.400515
F751,S Thompson at 1309,43.079683,-89.283323
F754,Merryturn at Kevins,43.088745,-89.29322
F756,Acewood at Starker,43.076981,-89.303514
F763,Dominion at Traveler,43.091575,-89.269679
7167,Milwaukee at Walbridge,43.098334,-89.313368
7169,Milwaukee at Dempsey,43.098186,-89.318296
7175,Milwaukee at Swanton,43.098717,-89.301055
F776,Acewood at Cottage Grove,43.083875,-89.303317
F718,Starker at Acewood,43.076981,-89.303045
F711,Acewood at Leo,43.081036,-89.302778
F786,S Thompson at Vondron,43.067408,-89.291248
F788,Starker at Angel Crest,43.07705,-89.30002
7198,Milwaukee at Milo,43.098855,-89.305069
7203,E Buckeye at Ellen,43.073358,-89.288052
7206,E Buckeye at Dondee,43.073346,-89.302483
7209,Milwaukee at Portland,43.09858,-89.30728
F721,Vondron at E Buckeye,43.073693,-89.291347
F724,Merryturn at Retana,43.091885,-89.291214
7215,Atwood at Cottage Grove,43.08409,-89.325022
L723,Vondron at S Thompson,43.06756,-89.291297
7226,Femrite at Agriculture,43.051751,-89.292043
F720,Merryturn at Sudbury,43.096102,-89.291095
7232,Pflaum at Groveland,43.062188,-89.320363
7235,E Buckeye at S Stoughton E,43.073082,-89.307965
7236,Milwaukee at Rustic,43.099652,-89.270143
7247,Buckeye at Turner,43.07366,-89.313778
7248,Milwaukee at Swanton,43.098923,-89.301426
F755,S Thompson at E Buckeye,43.073836,-89.282792
F758,North Star at Copernicus,43.089533,-89.27692
7263,Cottage Grove at S Thompson,43.084271,-89.286759
7269,Wyalusing at Dominion,43.091511,-89.26111
F782,Acewood at Leo,43.080867,-89.303272
7296,Atwood at Margaret,43.087494,-89.327412
0730,S Park at Burr Oak,43.044293,-89.394303
7302,Pflaum at Daniels,43.062526,-89.297454
7306,Dempsey at Rockwell,43.08796,-89.316484
F710,S Thompson at Milwaukee,43.098741,-89.288879
7324,E Buckeye at Vondron,43.073523,-89.291879
F725,S Thompson at Rustic Wood,43.07072,-89.281786
7326,Wyalusing at Summertown,43.096893,-89.261999
7328,Buckeye at Turner,43.073947,-89.314494
7331,Agriculture at Dairy,43.059425,-89.293646
7333,E Buckeye at S Thompson,43.07346,-89.282558
7334,Cottage Grove at North Star,43.084729,-89.280004
7335,E Buckeye at Twilight,43.073269,-89.298718
7341,Cottage Grove at Drexel,43.083657,-89.320121
F733,Starker at Angel Crest,43.076835,-89.299835
7348,Turner at Ruth,43.070061,-89.314438
7351,Pflaum at Camden,43.062145,-89.311315
0736,Fish Hatchery at Wingra,43.050122,-89.400212
F739,Acewood at Goldfinch,43.088431,-89.302617
7371,Milwaukee at North Star,43.099148,-89.275677
7374,Dempsey at Cottage Grove,43.083627,-89.316404
F777,Dominion at Galileo,43.091489,-89.272581
7381,Milwaukee at Daffodil,43.098794,-89.296733
7385,Agriculture at Femrite,43.051938,-89.291488
7391,Pflaum at Advance,43.06228,-89.302811
7392,Cottage Grove at Flora,43.084445,-89.299698
7398,Milwaukee at Dempsey,43.0984,-89.317925
7399,Dempsey at Gary,43.081576,-89.316099
7410,Cottage Grove at Atlas,43.08429,-89.307328
7412,Agriculture at Pflaum,43.06143,-89.293839
F745,North Star at Cottage Grove,43.084916,-89.279498
7417,Agriculture at World Dairy,43.056656,-89.29138
7419,Dempsey at Pinney,43.085838,-89.316154
0743,W Johnson at N Mills,43.072012,-89.403735
F743,North Star at Copernicus,43.089283,-89.276871
F747,Merryturn at Retana,43.092019,-89.290917
7458,Agriculture at Dairy,43.059255,-89.29388
7470,Milwaukee at Kurt,43.099058,-89.292793
7471,Cottage Grove at Meadowlark,43.084163,-89.295414
7473,Davies at Drexel,43.07882,-89.317128
7479,E Buckeye at Vondron,43.073326,-89.291002
7490,Dempsey at Gary,43.081362,-89.316396
7499,Pflaum at Seiferth,43.062222,-89.307748
0075,W Dayton at N Park,43.070839,-89.40002
F757,S Thompson at Grafton,43.076656,-89.282663
F735,Starker at Woodvale,43.076921,-89.295995
0752,E Gorham at N Butler,43.079833,-89.384745
7520,Pflaum at Camden,43.062351,-89.312068
F726,North Star at Orion,43.088291,-89.278947
F753,North Star at Dominion,43.091286,-89.274891
7532,Cottage Grove at Meadowlark,43.084468,-89.296352
7538,E Buckeye at S Stoughton E,43.073215,-89.307113
7540,Cottage Grove at S Thompson,43.084611,-89.286943
7544,E Buckeye at Woodvale,43.073474,-89.296187
7547,Milwaukee at S Thompson,43.098902,-89.28836
F750,S Thompson at Forge,43.066532,-89.283794
7552,Milwaukee at Daffodil,43.099009,-89.296918
7553,Milwaukee at S Sprecher,43.099396,-89.266167
7557,Buckeye at Lakeview,43.074908,-89.317615
7565,S Sprecher at Cottage Grove,43.085305,-89.266607
7567,Davies at Buckeye,43.077076,-89.319674
7569,Agriculture at Pflaum,43.061654,-89.293666
0757,N Charter at University,43.07417,-89.406055
